País,Clics,Impresiones,CTR,Posición
Argentina,5,109,4.59%,7.22
Estados Unidos,0,27,0%,4.22
Reino Unido,0,16,0%,6.25
España,0,2,0%,1
Canadá,0,2,0%,3.5
Uruguay,0,2,0%,5.5
Brasil,0,1,0%,1
Italia,0,1,0%,3
Australia,0,1,0%,4
República Dominicana,0,1,0%,4
Costa Rica,0,1,0%,6
Guatemala,0,1,0%,6
Chile,0,1,0%,8
Colombia,0,1,0%,10
